asin,title,imgUrl,productURL,stars,reviews,price,listPrice,categoryName,isBestSeller,boughtInLastMonth,mainCategory,discount_amount,discount_percent
B004NDX7O6,"BLACK+DECKER Heat Gun, Dual Temperature, Multi Purpose (HG1300)",https://m.media-amazon.com/images/I/51H2ayBwuFS._AC_UL320_.jpg,https://www.amazon.ca/dp/B004NDX7O6,4.7,8203,24.98,34.99,Industrial  Scientific,True,2000,Hardware & Tools,10.010000000000002,28.608173763932555
B07WNRN9WQ,"Glocusent LED Neck Reading Light, Book Light for Reading in Bed, 3 Colors, 6 Brightness Levels, Bendable Arms, Rechargeable, Long Lasting, Perfect for Reading, Knitting, Camping, Repairing",https://m.media-amazon.com/images/I/61ZsbUb56BS._AC_UL320_.jpg,https://www.amazon.ca/dp/B07WNRN9WQ,4.7,95425,28.99,39.99,Tools  Home Improvement,True,2000,Hardware & Tools,11.000000000000004,27.506876719179804
B01HH198KW,"CanPrev - Pure Magnesium Bis-Glycinate 200mg (Gentle) | 240 v-caps | Elemental Chelated Complex Supplement | Magnesium bis-glycinate blend - Glycine, Magnesium Oxide, Magnesium bis-glycinate chelate | Vegan",https://m.media-amazon.com/images/I/71347k5hyAL._AC_UL320_.jpg,https://www.amazon.ca/dp/B01HH198KW,4.7,4551,35.99,39.99,Health  Personal Care,True,10000,Health & Wellness & Baby Products,4.0,10.002500625156289
B08PHM9FD5,"RestoraFIBRE Daily Prebiotic Fibre Gummies - Fibre Supplements For Men And Women, Naturally Sourced Inulin, Promotes Regularity And supports Healthy Digestive system, Gentle Constipation Relief For Adults, 90 Count",https://m.media-amazon.com/images/I/71vz7EECkvL._AC_UL320_.jpg,https://www.amazon.ca/dp/B08PHM9FD5,4.4,2018,13.47,15.97,Health  Personal Care,True,9000,Health & Wellness & Baby Products,2.5,15.654351909830932
B075SN1MY9,"Lube Life Water Based Personal Lubricant, 8 Ounce (240 mL) Lube for Men, Women and Couples (Free of Parabens, Glycerin, Silicone and Oil)",https://m.media-amazon.com/images/I/61Hlr5j2PYL._AC_UL320_.jpg,https://www.amazon.ca/dp/B075SN1MY9,4.3,108499,14.99,16.08,Women's Health  Family Planning,True,6000,Health & Wellness & Baby Products,1.089999999999998,6.778606965174117
B09CDM61XY,"vankada Heating Pad Electric Heat Pad, Hot Heated Pad,Moist Heat Heating Pad Moist and Dry Heat,Multiple Temp and Timer Settings",https://m.media-amazon.com/images/I/6139-gUmuDL._AC_UL320_.jpg,https://www.amazon.ca/dp/B09CDM61XY,4.4,3858,29.99,36.99,Health Care Products,True,6000,Health & Wellness & Baby Products,7.0000000000000036,18.924033522573676
B078SZX3ML,Lions Mane Brain and Focus Supplements (120ct) Mushroom Powder Extract Capsules - Non-GMO and Gluten-Free Supplement for Better Cognitive Health,https://m.media-amazon.com/images/I/71JWwLB9+3L._AC_UL320_.jpg,https://www.amazon.ca/dp/B078SZX3ML,4.3,15723,39.95,44.95,Health  Personal Care,True,6000,Health & Wellness & Baby Products,5.0,11.123470522803114
B01G3WS3PW,Utopia Home Pack of 50 Premium Non Slip Velvet Hangers 360 Degree rotatable Hook Durable & Slim Coat Hangers - Pant Hangers - Black,https://m.media-amazon.com/images/I/81nZ-vhAB9L._AC_UY218_.jpg,https://www.amazon.ca/dp/B01G3WS3PW,4.6,44014,31.99,41.99,Home Storage  Organization,True,8000,Home & Garden,10.000000000000004,23.81519409383187
B08JPB8F69,"Sondiko LED Grow Light, Full Spectrum Plant Lights for Indoor Plants with Auto On Off 3/9/12H Timer, 9 Dimmable Levels, Adjustable Gooseneck, 3 Switch Modes for Greenhouse, Home, Office",https://m.media-amazon.com/images/I/81WjL9QKWgL._AC_UL320_.jpg,https://www.amazon.ca/dp/B08JPB8F69,4.4,3062,29.99,32.99,Farming  Urban Agriculture,True,4000,Home & Garden,3.0000000000000036,9.093664746893008
B09NRNVMZ4,"Coraje Adhesive Shower Caddy, 5-Pack Shower Shelves, Large Capacity Load Bearing 40 LBS Shower Organizer, No Drilling Shower Shelf, Rustproof Stainless Steel Bathroom Shower Storage, Black",https://m.media-amazon.com/images/I/81wUjLNS2wL._AC_UY218_.jpg,https://www.amazon.ca/dp/B09NRNVMZ4,4.7,10050,39.99,55.0,Home Storage  Organization,True,3000,Home & Garden,15.009999999999998,27.290909090909086
